BASE_YEAR,PLAYER_NO,PLAYER_NM,PLAYER_GRAD_NM,PRACE_TME_CO,PRACE_DE_CO,N1R_NCNT,N1R_VICTRY_RT,N2R_NCNT,YUNDAE_RT,N3R_NCNT,THREE_YUNDAE_RT,N4R_NCNT,N5R_NCNT,N6R_NCNT,N7R_NCNT,N8R_NCNT,N9R_NCNT,DSQLFC_CO,FELOFF_ABANDN_VALUE,DEFECT_ABANDN_VALUE,PN_AFLTION_NM,PRECDNG_N1CK_NCNT,OVRTK_N1CK_NCNT,EXCD_N1CK_NCNT,DEFNS_N1CK_NCNT,WARN_NCNT,ATENT_NCNT,EVL_SCORE,GEAR_MULTIP_VALUE,TOT_RANK_CO
"1996","19940102","신우삼",,"6","16","2","13","2","25","0","0","4","3","2","2","0","0","0","0","0","1/3",,,,,,,,,
"1996","19950015","김창규",,"7","21","2","10","6","38","2","0","2","5","3","1","0","0","0","0","0","2/1",,,,,,,,,
"1996","19960041","임병창",,"5","15","5","33","3","53","2","0","1","0","1","3","0","0","0","0","0","3/1",,,,,,,,,
"1996","19960034","최수용",,"14","15","2","13","6","53","1","0","2","3","0","1","0","0","0","0","0","3/1",,,,,,,,,
"1996","19950029","임권빈",,"4","12","1","8","1","17","2","0","3","2","1","1","0","0","0","1","0","2/1",,,,,,,,,
"1996","19950030","이경태",,"5","15","2","13","2","27","2","0","2","3","2","2","0","0","0","0","0","2/1",,,,,,,,,
"1996","19950051","정성기",,"6","16","8","50","4","75","2","0","0","1","0","0","0","0","0","1","0","2/1",,,,,,,,,
"1996","19950053","정덕이",,"12","21","6","29","5","52","3","0","4","0","2","1","0","0","0","0","0","2/1",,,,,,,,,
"1996","19950069","최항진",,"14","15","3","20","2","33","0","0","4","1","4","1","0","0","0","0","0","2/1",,,,,,,,,
"1996","19960002","김우병",,"13","36","4","11","4","22","5","36","6","5","7","5","0","0","0","0","0","3/1",,,,,,,,,
"1996","19960024","용석길",,"5","13","2","15","4","46","3","0","2","2","0","0","0","0","0","0","0","3/1",,,,,,,,,
"1996","19940093","장보규",,"6","18","2","11","3","28","1","0","3","7","0","1","0","0","0","1","0","1/3",,,,,,,,,
"1996","19940083","신용수",,"8","18","4","22","0","22","5","0","2","2","1","4","0","0","0","0","0","1/3",,,,,,,,,
"1996","19940051","신양우",,"14","19","4","21","2","32","3","0","1","1","7","1","0","0","0","0","0","1/1",,,,,,,,,
"1996","19950008","박재청",,"6","17","0","0","2","12","8","0","0","3","2","1","0","0","1","0","0","2/1",,,,,,,,,
"1996","19940050","서우승",,"6","16","1","6","3","25","0","0","5","4","0","3","0","0","0","0","0","1/1",,,,,,,,,
"1996","19940031","김용대",,"18.5","54","4","7","3","13","10","31","11","11","7","8","0","0","0","0","0","1/1",,,,,,,,,
"1996","19940020","허은회",,"15","13","6","46","2","62","2","0","2","0","1","0","0","0","0","0","0","1/1",,,,,,,,,
"1996","19950014","현정운",,"8","22","5","23","5","45","2","0","3","5","1","1","0","0","0","0","0","2/1",,,,,,,,,
