CL_CD,RACE_YEAR,RACE_MT,RACE_DAY,TITLE_NM,DETAIL_CN
"1","2023","03","24","제12회차 01일째",
"1","2020","07","26","제30회차 3일째",
"1","2020","07","31","제31회차 1일째",
"1","2020","08","01","제31회차 2일째",
"1","2020","08","02","제31회차 3일째",
"1","2024","06","21","제24회차 01일째",
"1","2024","07","05","제26회차 01일째",
"1","2024","07","14","제27회차 03일째",
"1","2024","07","27","제29회차 02일째",
"1","2024","08","11","제31회차 03일째",
"1","2024","08","24","제33회차 02일째",
"1","2024","09","06","제35회차 01일째",
"1","2024","09","15","제36회차 03일째",
"1","2024","09","28","제38회차 02일째",
"1","2024","10","19","제41회차 02일째",
"1","2024","11","01","제43회차 01일째",
"1","2024","11","10","제44회차 03일째",
"1","2024","11","23","제46회차 02일째",
"1","2024","11","29","제47회차 01일째",
"1","2024","12","08","제48회차 03일째",
"1","2024","12","21","제50회차 02일째","4일 경륜"
"1","2024","01","06","제01회차 02일째",
"1","2024","01","19","제03회차 01일째",
"1","2024","01","28","제04회차 03일째",
"1","2024","02","17","제06회차 02일째",
"1","2024","03","09","제09회차 02일째",
"1","2024","03","22","제11회차 01일째",
"1","2024","03","31","제12회차 03일째",
"1","2024","04","06","제13회차 02일째",
"1","2024","04","20","제15회차 02일째",
"1","2024","05","11","제18회차 02일째",
"1","2024","05","12","제18회차 03일째",
"1","2024","05","25","제20회차 01일째",
"1","2024","06","07","제22회차 01일째",
"1","2024","06","16","제23회차 03일째",
"1","2024","07","13","제27회차 02일째",
"1","2024","07","26","제29회차 01일째",
"1","2024","08","10","제31회차 02일째",
"1","2024","08","23","제33회차 01일째",
"1","2024","09","01","제34회차 03일째",
"1","2024","09","14","제36회차 02일째",
"1","2024","09","27","제38회차 01일째",
"1","2024","10","18","제41회차 01일째",
"1","2024","10","27","제42회차 03일째",
"1","2024","11","09","제44회차 02일째",
"1","2024","11","22","제46회차 01일째",
"1","2024","12","07","제48회차 02일째",
"1","2024","12","20","제50회차 01일째","4일 경륜"
"1","2024","10","07","제39회차 04일째","4일 경륜"
"1","2025","06","06","제23회차 1일째",
"1","2025","08","29","제35회차 1일째",
"1","2025","05","05","제18회차 04일째","4일경륜"
"1","2025","03","03","제09회차 04일째","4일경륜"
"1","2025","08","30","제35회차 2일째",
"1","2025","08","31","제35회차 3일째",
"1","2025","09","05","제36회차 1일째",
"1","2025","09","06","제36회차 2일째",
"1","2025","09","07","제36회차 3일째",
"1","2025","09","12","제37회차 1일째",
"1","2025","09","13","제37회차 2일째",
"1","2025","09","14","제37회차 3일째",
"1","2025","09","19","제38회차 1일째",
"1","2025","09","20","제38회차 2일째",
"1","2025","09","21","제38회차 3일째",
"1","2025","10","10","제40회차 01일째",
"1","2025","10","11","제40회차 02일째",
"1","2025","10","12","제40회차 03일째",
"1","2025","10","17","제41회차 01일째",
"1","2025","10","18","제41회차 02일째",
"1","2025","10","19","제41회차 03일째",
"1","2025","10","24","제42회차 01일째",
"1","2025","10","25","제42회차 02일째",
"1","2025","10","26","제42회차 03일째",
"1","2025","11","07","제44회차 01일째",
"1","2025","05","30","제22회차 1일째",
"1","2025","05","31","제22회차 2일째",
"1","2025","06","01","제22회차 3일째",
"1","2025","06","08","제23회차 3일째",
"1","2025","06","13","제24회차 1일째",
"1","2025","06","14","제24회차 2일째",
"1","2025","06","15","제24회차 3일째",
"1","2025","06","20","제25회차 1일째",
"1","2025","06","21","제25회차 2일째",
"1","2025","06","22","제25회차 3일째",
"1","2025","08","09","제32회차 2일째",
"1","2025","08","10","제32회차 3일째",
"1","2025","08","15","제33회차 1일째",
"1","2025","08","16","제33회차 2일째",
"1","2025","08","17","제33회차 3일째",
"1","2025","08","22","제34회차 1일째",
"1","2025","08","24","제34회차 3일째",
"1","2025","01","03","제01회차 1일째",
"1","2025","01","04","제01회차 2일째",
"1","2025","01","05","제01회차 3일째",
"1","2025","01","10","제02회차 1일째",
"1","2025","01","11","제02회차 2일째",
"1","2025","01","12","제02회차 3일째",
"1","2025","01","17","제03회차 1일째",
"1","2025","01","18","제03회차 2일째",
"1","2025","01","19","제03회차 3일째",
"1","2025","01","24","제04회차 1일째",
"1","2025","01","25","제04회차 2일째",
"1","2025","01","26","제04회차 3일째",
"1","2025","01","31","제05회차 1일째",
"1","2025","02","01","제05회차 2일째",
"1","2025","02","02","제05회차 3일째",
"1","2025","02","07","제06회차 1일째",
"1","2025","02","08","제06회차 2일째",
"1","2025","02","09","제06회차 3일째",
"1","2025","02","14","제07회차 1일째",
"1","2025","02","15","제07회차 2일째",
"1","2025","02","16","제07회차 3일째",
"1","2025","02","28","제09회차 1일째","4일경륜"
"1","2025","03","01","제09회차 2일째",
"1","2025","03","02","제09회차 3일째",
"1","2025","03","07","제10회차 1일째",
"1","2025","03","08","제10회차 2일째",
"1","2025","03","09","제10회차 3일째",
"1","2025","03","14","제11회차 1일째",
"1","2025","03","15","제11회차 2일째",
"1","2025","03","16","제11회차 3일째",
"1","2025","03","21","제12회차 1일째",
"1","2025","03","22","제12회차 2일째",
"1","2025","03","23","제12회차 3일째",
"1","2025","03","28","제13회차 1일째",
"1","2025","03","29","제13회차 2일째",
"1","2025","03","30","제13회차 3일째",
"1","2025","04","04","제14회차 1일째",
"1","2025","04","05","제14회차 2일째",
"1","2025","04","06","제14회차 3일째",
"1","2025","04","11","제15회차 1일째",
"1","2025","04","12","제15회차 2일째",
"1","2025","04","13","제15회차 3일째",
"1","2025","04","18","제16회차 1일째",
"1","2025","04","19","제16회차 2일째",
"1","2025","04","20","제16회차 3일째",
"1","2025","04","25","제17회차 1일째",
"1","2025","04","26","제17회차 2일째",
"1","2025","04","27","제17회차 3일째",
"1","2025","05","02","제18회차 1일째","4일경륜"
"1","2025","05","03","제18회차 2일째","4일경륜"
"1","2025","05","04","제18회차 3일째","4일경륜"
"1","2025","05","09","제19회차 1일째",
"1","2025","05","10","제19회차 2일째",
"1","2025","05","11","제19회차 3일째",
"1","2025","05","16","제20회차 1일째",
"1","2025","05","17","제20회차 2일째",
"1","2025","05","18","제20회차 3일째",
"1","2025","11","08","제44회차 02일째",
"1","2025","11","09","제44회차 03일째",
"1","2025","11","14","제45회차 01일째",
"1","2025","11","15","제45회차 02일째",
"1","2025","11","16","제45회차 03일째",
"1","2025","11","21","제46회차 01일째",
"1","2025","11","22","제46회차 02일째",
"1","2025","11","23","제46회차 03일째",
"1","2025","11","28","제47회차 01일째",
"1","2025","11","29","제47회차 02일째",
"1","2025","11","30","제47회차 03일째",
"1","2025","12","05","제48회차 01일째",
"1","2025","12","06","제48회차 02일째",
"1","2025","12","07","제48회차 03일째",
"1","2025","12","12","제49회차 01일째",
